     2000.0000000000  2610845.3799999999  2013502.0000000000
     1950.0000000000  2544620.4600000000  2023517.0000000000
     1900.0000000000  2478487.3599999999  2033533.0000000000
     1850.0000000000  2412450.8399999999  2043550.0000000000
     1800.0000000000  2346516.1000000001  2053569.0000000000
     1750.0000000000  2280688.8300000001  2063588.0000000000
     1700.0000000000  2214975.2200000002  2073608.0000000000
     1650.0000000000  2149382.1000000001  2083629.0000000000
     1600.0000000000  2083916.9299999999  2093650.0000000000
     1550.0000000000  2018587.9099999999  2103670.0000000000
     1500.0000000000  1953404.0500000000  2113690.0000000000
     1450.0000000000  1888375.2400000000  2123710.0000000000
     1400.0000000000  1823512.3300000001  2133727.0000000000
     1350.0000000000  1758827.2000000000  2143743.0000000000
     1300.0000000000  1694332.7900000000  2153757.0000000000
     1250.0000000000  1630043.1899999999  2163769.0000000000
     1200.0000000000  1565973.6000000001  2173778.0000000000
     1150.0000000000  1502140.3000000000  2183784.0000000000
     1100.0000000000  1438560.5300000000  2193789.0000000000
     1050.0000000000  1375252.3000000000  2203793.0000000000
     1000.0000000000  1312234.0200000000  2213799.0000000000
      950.0000000000  1249523.9600000000  2223809.0000000000
      900.0000000000  1187139.4600000000  2233829.0000000000
      850.0000000000  1125095.8300000001  2243867.0000000000
      800.0000000000  1063404.7500000000  2253932.0000000000
      750.0000000000  1002072.2400000000  2264037.0000000000
      700.0000000000   941095.8909999999  2274197.0000000000
      650.0000000000   880461.4399999999  2284426.0000000000
