VARIABLES =  "Tw" "he" "qw"
      450.0000000000  1333412.4900000000   665392.6000000000
      500.0000000000  1421974.1699999999   660266.1000000000
      550.0000000000  1508885.2200000000   655273.2000000000
      600.0000000000  1594542.4700000000   650393.2000000000
      650.0000000000  1679166.9399999999   645614.2000000000
      700.0000000000  1762969.7700000000   640922.9000000000
      750.0000000000  1846129.3400000001   636307.5000000000
      800.0000000000  1928721.9399999999   631762.3000000000
      850.0000000000  2010890.8400000001   627277.5000000000
      900.0000000000  2092662.5900000001   622848.1000000000
      950.0000000000  2174110.5299999998   618467.8000000000
     1000.0000000000  2255279.5699999998   614132.1000000000
     1050.0000000000  2336181.4199999999   609838.3000000000
     1100.0000000000  2416879.5299999998   605581.3000000000
     1150.0000000000  2497348.4100000001   601360.6000000000
     1200.0000000000  2577654.8300000001   597171.3000000000
     1250.0000000000  2657767.1200000001   593013.6000000000
     1300.0000000000  2737733.0600000001   588883.9000000000
     1350.0000000000  2817535.2700000000   584781.9000000000
     1400.0000000000  2897204.9600000000   580704.9000000000
     1450.0000000000  2976731.8900000001   576652.5000000000
     1500.0000000000  3056140.0800000001   572622.7000000000
     1550.0000000000  3135419.7799999998   568614.9000000000
     1600.0000000000  3214595.5299999998   564627.4000000000
     1650.0000000000  3293652.0899999999   560660.2000000000
     1700.0000000000  3372620.8999999999   556711.4000000000
     1750.0000000000  3451478.4100000001   552781.2000000000
     1800.0000000000  3530261.1800000002   548865.9000000000
     1850.0000000000  3608947.1800000002   544967.7000000000
     1900.0000000000  3687555.9300000002   541085.7000000000
     1950.0000000000  3766095.0099999998   537217.9000000000
     2000.0000000000  3844556.9600000000   533364.4000000000
