VARIABLES =  "gamma" "Te" "he" "qw" "qwcond" "qwdiff" "xe" "mue" "ve"
   1.00000000000000        3281.32030647126        6884451.13355535     
   191700.350000000        74100.9500000000        117599.400000000     
  2.727966692637395E-003  1.126999096124869E-004   206.532984592204     
  0.672335753649934        3288.06898353661        6911041.85225958     
   191699.480000000        74392.2800000000        117307.200000000     
  2.719984721598336E-003  1.129382309230619E-004   206.835804004040     
  0.452035365636024        3298.23672970748        6950454.32398664     
   191698.600000000        74831.4000000000        116867.200000000     
  2.708113373872265E-003  1.132947511867674E-004   207.288652160953     
  0.303919538231320        3313.66522862909        7008781.91683781     
   191699.180000000        75498.1800000000        116201.000000000     
  2.690447888446740E-003  1.138299660343043E-004   207.968065756305     
  0.204335971785694        3337.29119608132        7094720.30019182     
   191699.860000000        76520.2600000000        115179.600000000     
  2.664184421212817E-003  1.146363631776880E-004   208.990621291670     
  0.137382379588326        3374.00506068816        7220489.32590111     
   191698.300000000        78111.2000000000        113587.100000000     
  2.625165468349828E-003  1.158591044186341E-004   210.538046756286     
  9.236708571873861E-002   3432.36153368955        7402603.31855218     
   191700.150000000        80647.8500000000        111052.300000000     
  2.567233534023281E-003  1.177326308456754E-004   212.900278943127     
  6.210169418915616E-002   3527.10447110696        7659936.22857688     
   191699.450000000        84793.8500000000        106905.600000000     
  2.482212038742046E-003  1.206192281256386E-004   216.515735511516     
  4.175318936560400E-002   3679.14577397604        8007504.89357238     
   191698.800000000        91567.6000000000        100131.200000000     
  2.363230651690949E-003  1.249594594277517E-004   221.899249165774     
  2.807216203941176E-002   3893.69762864785        8445150.59197975     
   191700.930000000        101627.900000000        90073.0300000000     
  2.218972531916180E-003  1.307236793834029E-004   228.998647850160     
  1.887391822135097E-002   4128.87244720766        8956201.83373540     
   191699.130000000        114056.500000000        77642.6300000000     
  2.079412572873680E-003  1.368105317566017E-004   236.558497828663     
  1.268961003167922E-002   4335.54816314480        9512050.24874538     
   191701.500000000        127296.900000000        64404.6000000000     
  1.965345808421579E-003  1.420906283517469E-004   243.326502112315     
  8.531678524172805E-003   4498.69093741118        10074985.4080778     
   191701.030000000        140165.000000000        51536.0300000000     
  1.877621300246287E-003  1.462671520099798E-004   248.945866484737     
  5.736152510448676E-003   4629.57781412191        10640302.8390048     
   191698.210000000        151459.800000000        40238.4100000000     
  1.807184145908959E-003  1.496470321504561E-004   253.750986489833     
  3.856620421163472E-003   4771.17342057518        11401535.7529379     
   191699.710000000        159362.400000000        32337.3100000000     
  1.729750870490008E-003  1.533481155526041E-004   259.368478854694     
  2.592943797404667E-003   4949.40446639217        12642557.0344356     
   191699.540000000        164107.500000000        27592.0400000000     
  1.629050849742362E-003  1.580796659602466E-004   267.264762332776     
  1.743328822199987E-003   5114.35955884424        14141074.8284662     
   191698.760000000        168606.400000000        23092.3600000000     
  1.531824476575063E-003  1.625044265948010E-004   275.616095372817     
  1.172102297533479E-003   5245.25280710311        15611559.9409420     
   191700.180000000        173346.000000000        18354.1800000000     
  1.452051333230552E-003  1.659940010053119E-004   283.085836460005     
  7.880462815669905E-004   5341.98525850089        16871777.0549861     
   191699.000000000        177813.900000000        13885.1000000000     
  1.392049437199149E-003  1.685170599659241E-004   289.122460959101     
  5.298316906283707E-004   5410.65289285838        17857310.3547865     
   191699.350000000        181586.100000000        10113.2500000000     
  1.349222169855440E-003  1.702568055858158E-004   293.675320285955     
  3.562247890262441E-004   5458.29338741276        18584464.1049578     
   191699.881000000        184526.800000000        7173.08100000000     
  1.319537541434584E-003  1.714299408714331E-004   296.960253811548     
  2.395026619987484E-004   5490.92696103490        19102333.5373433     
   191699.438000000        186701.800000000        4997.63800000000     
  1.299271323463314E-003  1.722145449470789E-004   299.267313108663     
  1.610262027560939E-004   5513.13407520931        19463586.0444478     
   191699.588000000        188258.600000000        3440.98800000000     
  1.285530386908575E-003  1.727387123247287E-004   300.862488995551     
  1.082636733874054E-004   5528.16873178897        19712092.3271411     
   191698.803000000        189348.100000000        2350.70300000000     
  1.276256711694933E-003  1.730888204371194E-004   301.953593255131     
  7.278953843983146E-005   5538.35720906252        19882253.5304751     
   191700.856000000        190103.200000000        1597.65600000000     
  1.269987617844328E-003  1.733238071800949E-004   302.697950858099     
  4.893900918477489E-005   5545.19948680515        19997309.7056718     
   191699.552000000        190617.400000000        1082.15200000000     
  1.265785054093307E-003  1.734805634419396E-004   303.200033117814     
  3.290344562312664E-005   5549.80595959364        20075118.1712400     
   191698.399700000        190967.000000000        731.399700000000     
  1.262959347976326E-003  1.735856132474755E-004   303.539029611835     
  2.212216291070446E-005   5552.92340922386        20127932.8563027     
   191698.897200000        191205.200000000        493.697200000000     
  1.261048747488521E-003  1.736564828276418E-004   303.768887381880     
  1.487352107293512E-005   5555.02107588014        20163541.8009563     
   191699.322800000        191366.300000000        333.022800000000     
  1.259763938047120E-003  1.737040673633308E-004   303.923752348077     
  1.000000000000000E-005   5556.43293201501        20187540.7929072     
   191699.607300000        191475.000000000        224.607300000000     
  1.258899548740855E-003  1.737360481680128E-004   304.028075199212     
